ASN|CC|AS_Name
10633|US|AVIDGDC - Avid Technology, Inc.
10634|US|INET-COMPUTERS-INC - iNET Computers, Inc.
10647|US|NACM - Nicholas Applegate
10653|US|MVANET - USAI.NET
10655|US|BUREAU-NAT-AFF - BUREAU OF NATIONAL AFFAIRS, INC.
10660|US|SYSNET-AS - SYSNET Communications
10661|US|SF-FIN-LP - Steadfast Financial LP
10662|US|NORFOLK-SOUTHERN - Norfolk Southern Corporation
10666|US|ALLERGAN - Allergan, Inc.
10668|US|LEE-ASN - Lee Enterprises, Inc.
10670|BR|COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO ESTADO MG
10671|AR|Comision Nacional de Actividades Espaciales
10674|US|GRUCOM - Gainesville Regional Utilities
10676|US|GLOBALEC - IBM
10678|CA|TRENDS-NET - @trends.ca
10680|US|IU-RESEARCH - Indiana University-Purdue University at Indianapolis
10685|US|ASA5COM - A5.COM
10688|BR|ISM AUTOMACAO S.A.
10689|US|FVI-CHI - Fox Valley Internet, Inc.
10690|US|NETSCOUT - NETSCOUT SYSTEMS INC.
10692|US|DLS-LITH - DLS Internet Services, Inc
10694|US|MONST-2AS - Monster Worldwide, Inc.
10695|US|WAL-MART - Wal-Mart Stores, Inc.
10697|AR|Interlink S.R.L.
106|US|GDAIS-ASN-106 - General Dynamics Advanced Information Systems, Inc.
10700|US|TECINFO - TECINFO
10701|US|TNSC - Fiber Plus, Inc
10702|US|INL-AS - Idaho National Laboratory
10704|BR|Microlink Telecom (LNCC)
10706|MX|Grupo Empresarial Mexicano en Telecomunicaciones, S.A. de C.V.
10708|US|SELECTNET-AS - SelectNet Internet Services
10713|US|GIGAN-3 - Insync Internet Services, Inc.
10715|BR|Universidade Federal de Santa Catarina
10717|US|SCHOLASTIC - Scholastic Inc.
10718|US|CONSECO - Conseco Companies
10721|US|THEAN8 - The Andersons Inc
10723|US|MGL-40-ASN - Meritage Group LP
10725|US|GENENTECH - Genentech, Inc.
10727|US|NETACCESS-1 - Netaccess, Inc.
10732|US|TIERRANET - TierraNet Inc.
10733|BR|DC MATRIX INTERNET S/A
10745|US|ARIN-ASH-CHA - ARIN Operations
10747|US|EPIC-HOSTING - Epic Hosting, LLC
10753|US|LVLT-10753 - Level 3 Parent, LLC
10754|US|GOV-FRB-BOG - Federal Reserve Board
10755|US|DARTMOUTH-AS - Dartmouth College
1075|Unknown|AS1075
10764|US|STARTAP - National Center for Supercomputing Applications
10765|US|CLOUDNET-AS - CloudNet
10770|US|SBIS-ASN-BLK-2 - AT&T Internet Services
10771|Unknown|AS10771
10774|Unknown|AS10774
10778|CL|MCL Internet
10780|US|PURE-STORAGE - Pure Storage, INC.
10782|US|HP-DIGITAL-10782 - Hewlett-Packard Company
10784|US|TOTALITY - MCI Communications Services, Inc. d/b/a Verizon Business
10786|US|CHARTWAY-FCU - Chartway Federal Credit Union
10788|US|CDW - CDW LLC
10790|US|QS-PHL - Quatro Systems Inc
10794|US|BANKAMERICA - Bank of America
10796|US|SCRR-10796 - Time Warner Cable Internet LLC
10798|ZA|SBICSA
10801|US|REGIONS-ASN-1 - REGIONS FINANCIAL CORPORATION
10803|ZA|EAST-COAST-ACCESS
10806|US|AFP-NET - AGENCE FRANCE PRESSE
10808|CA|THE-GLOBE-AND-MAIL - The Globe and Mail
10809|US|NCIA - North Country Internet Access
10812|US|UTPB-AS-10812 - University of Texas System
10818|US|FULLNETOK - Fullnet Communications
10819|US|ICC - IFWORLD Inc.
10821|US|PIONEERINTERNET - The Pioneer Telephone Association, Inc.
10823|US|NETCARRIER - NetCarrier, Inc.
10834|AR|Telefonica de Argentina
10835|US|VISIONARY - Visionary Communications, Inc.
10837|US|WELLSFARGO-10837 - Wells Fargo & Company
10838|US|OCEANIC-INTERNET-RR - Oceanic Internet
10843|US|AITNET - Advanced Internet Technologies
10844|US|VASTNET - Vastnet Corp
10846|US|DEERE - Deere & Company
10847|MX|Podernet, S.A. de C.V.
10848|US|DELL-SERVICES - Dell Marketing USA, L.P.
10849|US|DCCCD - Dallas County Community College District
10855|US|AUTO-BY-TEL - AUTO BY TEL
10857|US|JCPENNEY-AS - JCPenney Co., Inc.
10858|US|HYPER-BNG-ASN - Hypertherm Inc.
10859|US|COMPUTER-SCIENCES-CORP-NTIS - CSRA LLC
10865|CA|ABACOM-ASN - Services Internet Abacom
10867|US|FHDA-AS - Foothill-DeAnza Community College District
10868|US|DOWNCITY - DownCity LLC
10879|US|UHC - Unitedhealthcare
10880|US|YAHOO-AN2 - Yahoo
10881|BR|FUNPAR - Fundacao da UFPR para o DCTC
10882|US|CLARITYCONNECT - Clarity Connect Inc
10883|US|COMSPANUSA - Comspan Communications Inc.
10886|US|MAX-GIGAPOP - University of Maryland
10890|US|PHILADELPHIA-NEWSPAPERS - Philadelphia Newspapers Incorporated
10891|US|UTSWEB - Universal Tax Systems Inc
10896|US|VERIFONE - Verifone Incorporated
10897|BR|Camara dos Deputados
10903|US|TARGET-ASN - Target Corporation
10905|US|-Reserved AS-
10906|BR|Núcleo de Inf. e Coord. do Ponto BR - NIC.
10908|US|CLOUDFLOORAS - CloudfloorDNS
10909|US|WHITEELMCAPITALLLC - WHITE ELM CAPITAL, LLC
10910|US|INTERNAP-BLK - Internap Network Services Corporation
10912|Unknown|AS10912
10913|Unknown|AS10913
10915|US|CQL-AS - CQL Incorporated
10916|US|FIRSTVOLUNTEER - First Volunteer Bank
10919|US|TROYFP - Troy Corporation
10921|US|KIHNETWORK - Commonwealth of KentuckyDepartment of Information Systems
10925|US|SNOWBOUND - Snowbound Software Corporation
10926|Unknown|-Reserved AS-
10929|CA|NETELLIGENT - eStruxture Data Centers Inc.
10930|US|NOVA-INTERNET - Nova Internet Services, Inc.
10931|Unknown|-Reserved AS-
10932|US|UC2B - UC2B
10933|US|ATXNET-AS - ATX Telecommunications Services
10934|US|AS10934 - JPMorgan Chase & Co.
10935|US|RLC-INTERNET - RLC INTERNET
10936|US|MARNELL-CORRAO-ASSOC-MCC1 - Marnell Corrao Assoc.
10937|PR|CENTENNIAL-PR - AT&T Mobility Puerto Rico
10938|BR|AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI
10939|US|PMG1 - Paxton Media Group, LLC.
10940|US|FONALITY - Fonality, Inc.
10943|US|AS-ORT2 - OLD REPUBLIC NATIONAL TITLE INSURANCE CO.
10944|US|ABAG-10944 - Association of Bay Area Governments
10947|US|WERCS-NET - Mountain West Technologies Corporation
10949|US|SMART-CITY-HICC - Smart City Networks, L.P.
10951|US|MGA-ENTERTAINMENT - MGA ENTERTAINMENT INC.
10952|US|ECU-AS - East Carolina University
10953|US|PECO - Exelon Corporation
10954|BR|SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
10955|US|WILPATERSON - WILLIAM PATERSON UNIVERSITY
10958|US|ROYELLCOMM-AS - Royell Communications, Inc.
10959|US|BAC-NPC - Bank of America
10961|US|BGP-AS - Boston GigaPoP
10962|US|CERNER-CORP-ASN - Cerner Corporation
10963|US|-Reserved AS-
10964|AR|Banco Credicoop Cooperativo Limitado
10965|CA|MRNET - MRNet
10966|US|ALASKA-AIR - Alaska Airlines, Inc.
10967|US|HOMEDEPOTNET - The Home Depot
10968|US|CARGILL-NET - Cargill Incorporated
10969|US|TRANSCENDENT - Transcendent, LLC
10970|US|LIGHTEDGE - LightEdge Solutions
10971|US|CASSCOMM - Cass Cable TV, Inc.
10972|CA|NF-CANET2 - Memorial University, NF CAnet 2 gigaPOP
10973|US|KALAMA - Scatter Creek InfoNet, Inc.
10974|US|AS-10974 - CUsource, LLC
10975|US|NET-AIG - American International Group Data Center, Inc.
10978|US|TRIS3CT - Tris3ct LLC
10979|US|ICWGROUP - INSURANCE COMPANY OF THE WEST
10980|CA|STAFFORD - Stafford Communications, Inc.
10981|US|OPUBCO - The Oklahoma Publishing Company
10982|US|TIVO-SJ - TiVo, Inc.
10984|US|IDS-AS-BAYOU - HuntTel
10985|US|CURTIS-ASNUM - Curtis Instruments, Inc.
10986|AR|Desarrollos Digitales de Pulsar Consulting
10987|US|WEYERHAEUSER - Weyerhaeuser Company
10988|US|COLLEGE-OF-WESTERN-IDAHO - College of Western Idaho
10990|US|ASN2TULIX - Tulix Systems, Inc.
10991|US|CAPGE-HOSTING-MRO - Capgemini U.S. LLC
10993|US|AERIONET-INC - Aerioconnect
10995|US|PNCBANK - PNC Bank
10996|CA|CONCORDE - Concorde inc.
10998|US|BAC-MLAMRS - Bank of America
109|US|CISCOSYSTEMS - Cisco Systems, Inc.
11003|US|PANDG - The Procter and Gamble Company
11005|US|CHX-AS - Chicago Stock Exchange, Inc.
11008|AR|Netverk S.A.
11009|US|CARLOWUNIV - Carlow University
11011|Unknown|DFTLP - DuPont Fabros Technology LP
11012|US|DDC-AS - The Digital Design Company
11013|US|BLUE-AS - WideOpenWest Finance LLC
11014|AR|CPS
11015|US|TCH-AS - Texas Children's Hospital
11016|US|EXP-EC1999 - Experian
11017|US|CSN - CSN Support Services
11019|US|HAPROXY-TECHNOLOGIES - HAProxy Technologies, Inc.
1101|NL|IP-EEND-AS IP-EEND BV
