TLD,AbuseDomains,TotalDomainCount,abusePercent
itv,2,7,0.2857142857142857
vig,2,7,0.2857142857142857
bugatti,2,7,0.2857142857142857
sandvikcoromant,2,7,0.2857142857142857
kpmg,2,7,0.2857142857142857
aetna,2,7,0.2857142857142857
stc,2,7,0.2857142857142857
intel,2,7,0.2857142857142857
sfr,2,7,0.2857142857142857
softbank,1,4,0.25
gmail,1,4,0.25
redstone,2,8,0.25
blanco,1,4,0.25
bauhaus,1,4,0.25
fairwinds,1,4,0.25
nissan,1,4,0.25
eurovision,1,4,0.25
madrid,1,4,0.25
vistaprint,2,8,0.25
kia,1,4,0.25
americanexpress,2,8,0.25
kfh,4,17,0.23529411764705882
apple,3,13,0.23076923076923078
dabur,2,9,0.2222222222222222
jll,2,9,0.2222222222222222
ntt,2,9,0.2222222222222222
gea,2,9,0.2222222222222222
extraspace,2,9,0.2222222222222222
dubai,1,5,0.2
tiffany,1,5,0.2
cfd,1,5,0.2
nextdirect,1,5,0.2
barefoot,1,5,0.2
baidu,1,5,0.2
diy,1,5,0.2
emerck,2,10,0.2
honda,1,5,0.2
duck,1,5,0.2
nf,199,1091,0.18240146654445463
sew,2,11,0.18181818181818182
sohu,1,6,0.16666666666666666
sony,1,6,0.16666666666666666
kerryproperties,1,6,0.16666666666666666
bridgestone,1,6,0.16666666666666666
oracle,1,6,0.16666666666666666
volvo,1,6,0.16666666666666666
anz,2,12,0.16666666666666666
samsung,1,6,0.16666666666666666
fujitsu,1,6,0.16666666666666666
visa,1,6,0.16666666666666666
ubs,1,6,0.16666666666666666
lundbeck,1,6,0.16666666666666666
bms,1,6,0.16666666666666666
chanel,1,6,0.16666666666666666
locus,2,12,0.16666666666666666
dnp,1,6,0.16666666666666666
yandex,6,37,0.16216216216216217
catholic,2,13,0.15384615384615385
hsbc,2,13,0.15384615384615385
jpmorgan,2,13,0.15384615384615385
meet,1,7,0.14285714285714285
next,1,7,0.14285714285714285
airbus,1,7,0.14285714285714285
brother,1,7,0.14285714285714285
schmidt,2,14,0.14285714285714285
swatch,1,7,0.14285714285714285
statefarm,2,14,0.14285714285714285
teva,2,14,0.14285714285714285
toyota,1,7,0.14285714285714285
spreadbetting,1,7,0.14285714285714285
ericsson,1,7,0.14285714285714285
pioneer,1,7,0.14285714285714285
jprs,2,15,0.13333333333333333
walter,2,15,0.13333333333333333
marriott,2,16,0.125
off,1,8,0.125
foodnetwork,1,8,0.125
tiaa,1,8,0.125
gmo,1,8,0.125
food,1,8,0.125
cookingchannel,1,8,0.125
vanguard,1,8,0.125
lancaster,1,8,0.125
arpa,1,8,0.125
nissay,1,8,0.125
nec,1,8,0.125
orange,1,8,0.125
skin,1,8,0.125
sharp,2,16,0.125
kerryhotels,1,8,0.125
amex,2,17,0.11764705882352941
woodside,2,17,0.11764705882352941
praxi,2,17,0.11764705882352941
clubmed,1,9,0.1111111111111111
williamhill,2,18,0.1111111111111111
amfam,1,9,0.1111111111111111
xn--kcrx77d1x4a,1,9,0.1111111111111111
chase,2,18,0.1111111111111111
aarp,1,9,0.1111111111111111
sbi,2,18,0.1111111111111111
bostik,1,9,0.1111111111111111
mh,1,10,0.1
bbt,1,10,0.1
guardian,1,10,0.1
onyourside,1,10,0.1
gle,1,10,0.1
bosch,1,10,0.1
nationwide,1,10,0.1
suzuki,1,10,0.1
allstate,2,20,0.1
glade,1,10,0.1
ses,1,10,0.1
fujixerox,1,10,0.1
dell,2,21,0.09523809523809523
latrobe,2,21,0.09523809523809523
philips,2,21,0.09523809523809523
hyatt,2,21,0.09523809523809523
cisco,2,22,0.09090909090909091
statoil,1,11,0.09090909090909091
hitachi,1,11,0.09090909090909091
sandvik,2,22,0.09090909090909091
dhl,2,22,0.09090909090909091
scjohnson,1,11,0.09090909090909091
lupin,1,11,0.09090909090909091
nico,1,11,0.09090909090909091
tatamotors,1,11,0.09090909090909091
maif,1,11,0.09090909090909091
juniper,1,11,0.09090909090909091
vg,422,4677,0.09022877913192218
barclaycard,2,23,0.08695652173913043
smart,2,24,0.08333333333333333
ice,1,12,0.08333333333333333
lego,1,12,0.08333333333333333
gallo,1,12,0.08333333333333333
omega,1,12,0.08333333333333333
bentley,2,25,0.08
statebank,2,25,0.08
crown,1,13,0.07692307692307693
jcb,1,13,0.07692307692307693
ikano,2,26,0.07692307692307693
jaguar,1,13,0.07692307692307693
sbs,1,13,0.07692307692307693
lidl,2,27,0.07407407407407407
axa,2,28,0.07142857142857142
java,1,14,0.07142857142857142
xerox,1,14,0.07142857142857142
shriram,2,28,0.07142857142857142
nab,1,14,0.07142857142857142
bbva,1,14,0.07142857142857142
cfa,1,14,0.07142857142857142
sanofi,1,14,0.07142857142857142
aws,3,43,0.06976744186046512
liaison,2,29,0.06896551724137931
sx,202,2983,0.06771706335903453
monster,6,89,0.06741573033707865
otsuka,1,15,0.06666666666666667
genting,1,15,0.06666666666666667
csc,1,15,0.06666666666666667
landrover,1,15,0.06666666666666667
ipiranga,2,30,0.06666666666666667
cern,2,31,0.06451612903225806
ricoh,1,16,0.0625
abc,1,16,0.0625
mlb,2,33,0.06060606060606061
kp,2,34,0.058823529411764705
deloitte,2,34,0.058823529411764705
sca,1,17,0.058823529411764705
lipsy,1,17,0.058823529411764705
scb,2,35,0.05714285714285714
vivo,2,35,0.05714285714285714
rexroth,1,18,0.05555555555555555
arte,1,18,0.05555555555555555
hisamitsu,1,19,0.05263157894736842
stockholm,2,39,0.05128205128205128
sncf,1,20,0.05
wed,1,20,0.05
fresenius,2,41,0.04878048780487805
