ASN,CC,IP,numberOfIPs,abusePercent
13110,PL,8,167025,4.789702140398144e-05
131100,Unknown,1,510,0.0019607843137254897
131107,AU,1,255,0.0039215686274509795
131111,ID,28,14025,0.0019964349376114087
131127,Unknown,2,4080,0.0004901960784313724
13113,IT,4,19380,0.0002063983488132095
131149,Unknown,2,7140,0.00028011204481792715
131178,KH,45,39780,0.0011312217194570135
13118,RU,3,13770,0.00021786492374727668
131183,BD,1,1020,0.0009803921568627449
13119,PL,5,15045,0.00033233632436025255
131207,KH,16,10963,0.0014594545288698349
13121,UA,3,14280,0.00021008403361344542
131210,IN,5,4845,0.0010319917440660474
131215,IN,2,7905,0.0002530044275774826
13122,GB,1,47685,2.097095522701059e-05
131224,HK,1,510,0.0019607843137254897
131226,IN,1,510,0.0019607843137254897
13124,BG,22,396588,5.547318627895953e-05
131247,BD,1,2295,0.00043572984749455336
131259,SG,1,4080,0.00024509803921568627
131267,LA,19,9180,0.0020697167755991284
131269,IN,18,139485,0.00012904613399290245
13127,NL,10,1416015,7.062072082569746e-06
131279,KP,3,1020,0.0029411764705882357
13128,DE,1,65280,1.5318627450980392e-05
131284,AF,10,10200,0.0009803921568627449
131293,TH,58,90780,0.0006389072482925755
131303,PH,1,3315,0.00030165912518853697
131310,MY,1,4590,0.00021786492374727668
131322,MM,1,8160,0.00012254901960784314
131324,HK,1,6120,0.0001633986928104575
131325,CN,16,18615,0.0008595218909481601
131331,KH,1,3060,0.000326797385620915
131341,NP,1,1020,0.0009803921568627449
13135,DE,1,6885,0.00014524328249818444
131353,Unknown,15,4080,0.0036764705882352936
131367,Unknown,2,2040,0.0009803921568627449
131373,Unknown,1,1020,0.0009803921568627449
131386,Unknown,20,3060,0.006535947712418301
131392,Unknown,20,11220,0.0017825311942959
131394,Unknown,1,255,0.0039215686274509795
131410,Unknown,1,1020,0.0009803921568627449
131414,Unknown,8,3060,0.00261437908496732
131423,Unknown,8,2040,0.0039215686274509795
131427,Unknown,1,2805,0.00035650623885917997
131428,Unknown,1,2550,0.000392156862745098
131429,Unknown,1,31866,3.1381409652921614e-05
131434,Unknown,1,1020,0.0009803921568627449
131442,IN,6,4845,0.001238390092879257
131445,TH,3,122655,2.445884798825975e-05
131447,TH,5,4590,0.0010893246187363835
131459,IN,7,3570,0.0019607843137254897
131463,IN,3,2040,0.0014705882352941176
131477,CN,1,4078,0.0002452182442373713
131486,Unknown,4,91800,4.3572984749455335e-05
13155,RU,1,3570,0.00028011204481792715
13156,PT,5,86311,5.793004367925293e-05
131591,Unknown,1,279480,3.5780735651925003e-06
131596,Unknown,52,349860,0.0001486308809237981
131597,Unknown,4,33915,0.00011794191360754829
131607,Unknown,1,27795,3.5977693829825514e-05
131627,Unknown,7,85680,8.169934640522875e-05
131684,MY,1,510,0.0019607843137254897
131686,BD,6,1785,0.0033613445378151267
131706,Unknown,4,3570,0.0011204481792717086
131708,Unknown,2,255,0.007843137254901959
131709,Unknown,1,765,0.00130718954248366
13171,BY,2,255,0.007843137254901959
131711,Unknown,1,2040,0.0004901960784313724
131717,Unknown,5,3570,0.0014005602240896359
131722,Unknown,1,765,0.00130718954248366
131724,Unknown,2,1020,0.0019607843137254897
131728,Unknown,1,1785,0.0005602240896358543
13174,RU,3,23460,0.0001278772378516624
131743,Unknown,1,1020,0.0009803921568627449
131746,Unknown,2,2295,0.0008714596949891067
131749,Unknown,1,1020,0.0009803921568627449
131753,Unknown,1,1020,0.0009803921568627449
131755,Unknown,5,2040,0.0024509803921568627
131757,Unknown,1,255,0.0039215686274509795
131758,Unknown,1,765,0.00130718954248366
131759,Unknown,3,1275,0.002352941176470588
131763,Unknown,1,510,0.0019607843137254897
131765,Unknown,1,510,0.0019607843137254897
131767,Unknown,3,1275,0.002352941176470588
131769,Unknown,3,3060,0.0009803921568627449
131775,Unknown,3,2040,0.0014705882352941176
131776,Unknown,1,765,0.00130718954248366
13178,FR,7,18870,0.00037095919448860623
131781,Unknown,1,510,0.0019607843137254897
131787,IN,1,255,0.0039215686274509795
13188,UA,147,407980,0.0003603117799892152
13189,SE,7,79305,8.826681798121178e-05
131905,JP,1,1020,0.0009803921568627449
131909,Unknown,1,1530,0.00065359477124183
131916,Unknown,6,20400,0.0002941176470588235
131918,Unknown,1,38760,2.5799793601651183e-05
131919,Unknown,1,65280,1.5318627450980392e-05
131921,Unknown,7,68085,0.00010281266064478224
131927,Unknown,1,26520,3.770739064856712e-05
13193,FR,4,114495,3.4936023407135685e-05
131934,Unknown,2,22440,8.912655971479499e-05
13194,LT,5,92565,5.401609679684546e-05
132005,IN,2,1530,0.00130718954248366
132021,PH,2,510,0.0039215686274509795
132040,NZ,1,6885,0.00014524328249818444
13205,GB,1,17850,5.6022408963585436e-05
132056,HK,1,1275,0.000784313725490196
132059,PH,1,765,0.00130718954248366
132061,TH,1,64260,1.556178026766262e-05
132080,KH,3,1530,0.0019607843137254897
132098,KH,1,1020,0.0009803921568627449
132111,MY,4,7395,0.0005409060175794456
132116,IN,8,61965,0.0001291051399983862
13213,GB,65,94605,0.0006870672797420856
132133,TH,1,1020,0.0009803921568627449
132137,IN,1,7905,0.0001265022137887413
132148,MM,1,1020,0.0009803921568627449
13215,RU,1,2550,0.000392156862745098
132165,PK,5,244035,2.0488864302251725e-05
132167,MM,3,8160,0.0003676470588235294
132173,AF,1,1020,0.0009803921568627449
132198,MY,1,2040,0.0004901960784313724
132199,PH,86,290445,0.0002960973678321197
132203,CN,140,479400,0.0002920317062995411
132206,PH,1,4590,0.00021786492374727668
132210,BD,1,2040,0.0004901960784313724
132215,IN,4,11220,0.00035650623885917997
132220,IN,2,21675,9.22722029988466e-05
13224,KE,1,8160,0.00012254901960784314
132241,MY,2,2040,0.0009803921568627449
132250,TH,2,255,0.007843137254901959
132280,TH,2,30600,6.535947712418301e-05
132296,IN,2,10200,0.000196078431372549
13230,RU,4,27030,0.00014798372179060306
132322,IN,1,1530,0.00065359477124183
132323,IN,1,4080,0.00024509803921568627
132325,HK,4,6375,0.0006274509803921569
132335,IN,3573,43605,0.08194014447884418
132347,NZ,3,3060,0.0009803921568627449
13237,DE,1,465312,2.1490956605460417e-06
132372,MY,3,2040,0.0014705882352941176
13238,RU,13,205275,6.332967969796614e-05
132405,AU,1,6375,0.00015686274509803922
132422,HK,1284,28305,0.04536301006889242
